Ion Charge,El. Name,Ionization Energy (a) (eV)
0,H,13.5984346
0,He,24.58738901
1,He,54.41776549
0,Li,5.391714996
1,Li,75.640097
2,Li,122.4543591
0,Be,9.322699
1,Be,18.21115
2,Be,153.896205
3,Be,217.7185861
0,B,8.298019
1,B,25.15483
2,B,37.93059
3,B,259.3715
4,B,340.2260229
0,C,11.260288
1,C,24.383154
2,C,47.88778
3,C,64.49352
4,C,392.090518
5,C,489.993198
0,N,14.53413
1,N,29.60125
2,N,47.4453
3,N,77.4735
4,N,97.8901
5,N,552.06733
6,N,667.046121
0,O,13.618055
1,O,35.12112
2,O,54.93554
3,O,77.4135
4,O,113.899
5,O,138.1189
6,O,739.32683
7,O,871.409883
0,F,17.42282
1,F,34.97081
2,F,62.70798
3,F,87.175
4,F,114.249
5,F,157.16311
6,F,185.1868
7,F,953.89805
8,F,1103.11748
0,Ne,21.564541
1,Ne,40.96297
2,Ne,63.4233
3,Ne,97.19
4,Ne,126.247
5,Ne,157.934
6,Ne,207.271
7,Ne,239.097
8,Ne,1195.80784
9,Ne,1362.19916
0,Na,5.13907696
1,Na,47.28636
2,Na,71.62
3,Na,98.936
4,Na,138.404
5,Na,172.23
6,Na,208.504
7,Na,264.192
8,Na,299.856
9,Na,1465.134502
0,Mg,7.646236
1,Mg,15.035271
2,Mg,80.1436
3,Mg,109.2654
4,Mg,141.33
5,Mg,186.76
6,Mg,225.02
7,Mg,265.924
8,Mg,327.99
9,Mg,367.489
0,Al,5.985769
1,Al,18.82855
2,Al,28.447642
3,Al,119.9924
4,Al,153.8252
5,Al,190.49
6,Al,241.76
7,Al,284.64
8,Al,330.21
9,Al,398.65
0,Si,8.15168
1,Si,16.34585
2,Si,33.493
3,Si,45.14179
4,Si,166.767
5,Si,205.279
6,Si,246.57
7,Si,303.59
8,Si,351.28
9,Si,401.38
0,P,10.486686
1,P,19.76949
2,P,30.20264
3,P,51.44387
4,P,65.02511
5,P,220.43
6,P,263.57
7,P,309.6
8,P,372.31
9,P,424.4
0,S,10.36001
1,S,23.33788
2,S,34.86
3,S,47.222
4,S,72.5945
5,S,88.0529
6,S,280.954
7,S,328.794
8,S,379.84
9,S,447.7
0,Cl,12.967633
1,Cl,23.81364
2,Cl,39.8
3,Cl,53.24
4,Cl,67.68
5,Cl,96.94
6,Cl,114.2013
7,Cl,348.306
8,Cl,400.851
9,Cl,456.7
0,Ar,15.7596119
1,Ar,27.62967
2,Ar,40.735
3,Ar,59.58
4,Ar,74.84
5,Ar,91.29
6,Ar,124.41
7,Ar,143.4567
8,Ar,422.6
9,Ar,479.76
0,K,4.34066373
1,K,31.625
2,K,45.8031
3,K,60.917
4,K,82.66
5,K,99.44
6,K,117.56
